,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
19,11517,60000000,0.157889197,7.77815125," Action, Comedy, Crime",7.337906,1.34E-02,11/21/1995,35431113,0.012708096,7.549384795,103,0.304733728,Money Train,5.4,5.93E-01,224,0.015914742,Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper, Joe Grifasi,Joseph Ruben
20,8012,30250000,0.079599208,7.480725379," Comedy, Thriller, Crime",12.669608,2.31E-02,10/20/1995,115101622,0.041284691,8.061081444,105,0.310650888,Get Shorty,6.4,7.03E-01,305,0.021669627,John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo,Barry Sonnenfeld
22,9691,50000000,0.131573234,7.698970004," Action, Adventure, Crime, Thriller",11.065939,2.02E-02,10/6/1995,30303072,0.010868746,7.481486658,132,0.390532544,Assassins,6,6.59E-01,394,0.027992895,Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson, Steve Kahan,Richard Donner
24,451,3600000,0.009467168,6.556302501," Drama, Romance",10.332025,1.89E-02,10/27/1995,49800000,0.017861996,7.697229343,112,0.331360947,Leaving Las Vegas,7.1,7.80E-01,365,0.025932504,Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams,Mike Figgis
26,9263,12000000,0.031572576,7.079181246," Comedy, Drama, Family",8.681325,1.59E-02,10/20/1995,27400000,0.009827458,7.437750563,100,0.295857988,Now and Then,6.6,7.25E-01,91,0.006465364,Christina Ricci, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore,Lesli Linka Glatter
28,902,18000000,0.047362154,7.255272505," Fantasy, Science Fiction, Adventure",9.822423,1.79E-02,5/16/1995,1738611,0.00062311,6.240202423,108,0.319526627,The City of Lost Children,7.6,8.35E-01,308,0.021882771,Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus, Geneviève Brunet,"Jean-Pierre Jeunet, Marc Caro"
31,63,29500000,0.077625511,7.469822016," Science Fiction, Thriller, Mystery",12.297305,2.25E-02,12/29/1995,168840000,0.060559826,8.227475343,129,0.381656805,Twelve Monkeys,7.4,8.13E-01,2470,0.175488455,Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda,Terry Gilliam
33,9598,30000000,0.078941309,7.477121255," Fantasy, Drama, Comedy, Family",14.404764,2.63E-02,7/18/1995,254134910,0.091153808,8.405064327,89,0.263313609,Babe,6,6.59E-01,756,0.053712256,Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, James Cromwell,Chris Noonan
35,687,11000000,0.02894098,7.041392685,Drama,6.891317,1.26E-02,12/29/1995,39363635,0.014118631,7.595095196,122,0.360946746,Dead Man Walking,7.3,8.02E-01,350,0.024866785,Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston,
43,9312,18000000,0.047362154,7.255272505," Action, Fantasy",10.870138,1.99E-02,8/18/1995,122195920,0.043829307,8.087056705,101,0.298816568,Mortal Kombat,5.4,5.93E-01,452,0.032113677,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson, Talisa Soto,Paul W.S. Anderson
44,577,20000000,0.052625346,7.301029996," Fantasy, Drama, Comedy, Thriller",10.448481,1.91E-02,5/20/1995,21284514,0.007633927,7.328063738,106,0.313609467,To Die For,6.7,7.36E-01,177,0.012575488,Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Alison Folland,Gus Van Sant
45,11861,10000000,0.026309384,7," Drama, Romance",4.485958,8.19E-03,10/6/1995,23574130,0.008455177,7.372435674,116,0.343195266,How To Make An American Quilt,6.5,7.14E-01,38,0.002699822,Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons, Maya Angelou,Jocelyn Moorhouse
